date,demand
2023-01-01 00:00:00,64322
2023-01-01 01:00:00,61879
2023-01-01 02:00:00,60133
2023-01-01 03:00:00,59170
2023-01-01 04:00:00,58813
2023-01-01 05:00:00,59352
2023-01-01 06:00:00,59971
2023-01-01 07:00:00,60301
2023-01-01 08:00:00,59890
2023-01-01 09:00:00,57415
2023-01-01 10:00:00,55443
2023-01-01 11:00:00,52868
2023-01-01 12:00:00,51469
2023-01-01 13:00:00,51433
2023-01-01 14:00:00,52695
2023-01-01 15:00:00,55879
2023-01-01 16:00:00,60282
2023-01-01 17:00:00,64447
2023-01-01 18:00:00,66465
2023-01-01 19:00:00,66199
2023-01-01 20:00:00,66018
2023-01-01 21:00:00,65477
2023-01-01 22:00:00,65404
2023-01-01 23:00:00,65676
2023-01-02 00:00:00,63083
2023-01-02 01:00:00,60897
2023-01-02 02:00:00,59751
2023-01-02 03:00:00,59360
2023-01-02 04:00:00,60127
2023-01-02 05:00:00,62341
2023-01-02 06:00:00,66729
2023-01-02 07:00:00,74246
2023-01-02 08:00:00,83138
2023-01-02 09:00:00,83946
2023-01-02 10:00:00,81783
2023-01-02 11:00:00,78499
2023-01-02 12:00:00,74331
2023-01-02 13:00:00,76748
2023-01-02 14:00:00,78573
2023-01-02 15:00:00,81324
2023-01-02 16:00:00,84900
2023-01-02 17:00:00,85269
2023-01-02 18:00:00,83170
2023-01-02 19:00:00,80813
2023-01-02 20:00:00,78270
2023-01-02 21:00:00,75816
2023-01-02 22:00:00,75484
2023-01-02 23:00:00,75299
2023-01-03 00:00:00,71842
2023-01-03 01:00:00,69513
2023-01-03 02:00:00,68141
2023-01-03 03:00:00,67409
2023-01-03 04:00:00,67797
2023-01-03 05:00:00,69567
2023-01-03 06:00:00,73423
2023-01-03 07:00:00,79563
2023-01-03 08:00:00,87110
2023-01-03 09:00:00,87060
2023-01-03 10:00:00,84343
2023-01-03 11:00:00,80787
2023-01-03 12:00:00,75805
2023-01-03 13:00:00,78366
2023-01-03 14:00:00,80206
2023-01-03 15:00:00,82581
2023-01-03 16:00:00,86163
2023-01-03 17:00:00,86690
2023-01-03 18:00:00,84888
2023-01-03 19:00:00,82717
2023-01-03 20:00:00,79738
2023-01-03 21:00:00,77372
2023-01-03 22:00:00,77160
2023-01-03 23:00:00,76931
2023-01-04 00:00:00,73087
2023-01-04 01:00:00,70684
2023-01-04 02:00:00,69165
2023-01-04 03:00:00,68327
2023-01-04 04:00:00,68569
2023-01-04 05:00:00,70168
2023-01-04 06:00:00,73743
2023-01-04 07:00:00,79699
2023-01-04 08:00:00,86766
2023-01-04 09:00:00,87191
2023-01-04 10:00:00,84612
2023-01-04 11:00:00,80845
2023-01-04 12:00:00,76002
2023-01-04 13:00:00,78927
2023-01-04 14:00:00,80727
2023-01-04 15:00:00,82873
2023-01-04 16:00:00,85342
2023-01-04 17:00:00,85151
2023-01-04 18:00:00,83548
2023-01-04 19:00:00,81754
2023-01-04 20:00:00,79119
2023-01-04 21:00:00,76907
2023-01-04 22:00:00,76504
2023-01-04 23:00:00,76197
2023-01-05 00:00:00,72474
2023-01-05 01:00:00,70042
2023-01-05 02:00:00,68646
2023-01-05 03:00:00,67878
2023-01-05 04:00:00,68126
2023-01-05 05:00:00,69726
2023-01-05 06:00:00,73520
2023-01-05 07:00:00,79108
2023-01-05 08:00:00,87276
2023-01-05 09:00:00,89012
2023-01-05 10:00:00,86884
2023-01-05 11:00:00,83400
2023-01-05 12:00:00,78530
2023-01-05 13:00:00,81436
2023-01-05 14:00:00,82741
2023-01-05 15:00:00,83862
2023-01-05 16:00:00,85562
2023-01-05 17:00:00,85427
2023-01-05 18:00:00,83751
2023-01-05 19:00:00,81791
2023-01-05 20:00:00,78870
2023-01-05 21:00:00,76334
2023-01-05 22:00:00,75929
2023-01-05 23:00:00,75685
2023-01-06 00:00:00,72026
2023-01-06 01:00:00,69296
2023-01-06 02:00:00,67768
2023-01-06 03:00:00,67143
2023-01-06 04:00:00,67532
2023-01-06 05:00:00,69160
2023-01-06 06:00:00,72607
2023-01-06 07:00:00,78304
2023-01-06 08:00:00,85616
2023-01-06 09:00:00,86606
2023-01-06 10:00:00,83842
2023-01-06 11:00:00,80259
2023-01-06 12:00:00,75523
2023-01-06 13:00:00,77774
2023-01-06 14:00:00,79139
2023-01-06 15:00:00,80820
2023-01-06 16:00:00,82601
2023-01-06 17:00:00,82074
2023-01-06 18:00:00,80039
2023-01-06 19:00:00,78095
2023-01-06 20:00:00,75895
2023-01-06 21:00:00,73771
2023-01-06 22:00:00,73565
2023-01-06 23:00:00,73389
2023-01-07 00:00:00,69562
2023-01-07 01:00:00,66834
2023-01-07 02:00:00,65101
2023-01-07 03:00:00,64225
2023-01-07 04:00:00,64289
2023-01-07 05:00:00,64787
2023-01-07 06:00:00,65947
2023-01-07 07:00:00,67415
2023-01-07 08:00:00,69238
2023-01-07 09:00:00,69507
2023-01-07 10:00:00,68835
2023-01-07 11:00:00,66895
2023-01-07 12:00:00,63517
2023-01-07 13:00:00,63388
2023-01-07 14:00:00,63646
2023-01-07 15:00:00,65387
2023-01-07 16:00:00,68026
2023-01-07 17:00:00,69810
2023-01-07 18:00:00,70729
2023-01-07 19:00:00,69928
2023-01-07 20:00:00,69249
2023-01-07 21:00:00,68263
2023-01-07 22:00:00,68962
2023-01-07 23:00:00,69296
2023-01-08 00:00:00,66131
2023-01-08 01:00:00,63588
2023-01-08 02:00:00,61978
2023-01-08 03:00:00,61114
2023-01-08 04:00:00,61164
2023-01-08 05:00:00,61847
2023-01-08 06:00:00,62840
2023-01-08 07:00:00,63346
2023-01-08 08:00:00,62980
2023-01-08 09:00:00,60153
2023-01-08 10:00:00,58553
2023-01-08 11:00:00,56314
2023-01-08 12:00:00,54696
2023-01-08 13:00:00,55081
2023-01-08 14:00:00,56435
2023-01-08 15:00:00,59403
2023-01-08 16:00:00,63354
2023-01-08 17:00:00,66530
2023-01-08 18:00:00,68090
2023-01-08 19:00:00,67783
2023-01-08 20:00:00,67208
2023-01-08 21:00:00,66406
2023-01-08 22:00:00,66161
2023-01-08 23:00:00,66248
2023-01-09 00:00:00,63361
2023-01-09 01:00:00,60975
2023-01-09 02:00:00,59600
2023-01-09 03:00:00,59246
2023-01-09 04:00:00,59891
2023-01-09 05:00:00,61995
2023-01-09 06:00:00,66002
2023-01-09 07:00:00,72464
2023-01-09 08:00:00,81688
2023-01-09 09:00:00,84683
2023-01-09 10:00:00,83809
2023-01-09 11:00:00,80666
2023-01-09 12:00:00,75349
2023-01-09 13:00:00,77188
2023-01-09 14:00:00,77881
2023-01-09 15:00:00,78719
2023-01-09 16:00:00,80843
2023-01-09 17:00:00,81487
2023-01-09 18:00:00,80577
2023-01-09 19:00:00,78747
2023-01-09 20:00:00,76135
2023-01-09 21:00:00,73897
2023-01-09 22:00:00,73726
2023-01-09 23:00:00,73276
2023-01-10 00:00:00,69746
2023-01-10 01:00:00,67421
2023-01-10 02:00:00,66104
2023-01-10 03:00:00,65664
2023-01-10 04:00:00,66122
2023-01-10 05:00:00,67905
2023-01-10 06:00:00,71505
2023-01-10 07:00:00,77267
2023-01-10 08:00:00,83973
2023-01-10 09:00:00,83332
2023-01-10 10:00:00,80304
2023-01-10 11:00:00,76224
2023-01-10 12:00:00,71071
2023-01-10 13:00:00,73004
2023-01-10 14:00:00,74586
2023-01-10 15:00:00,77066
2023-01-10 16:00:00,80414
2023-01-10 17:00:00,81088
2023-01-10 18:00:00,80281
2023-01-10 19:00:00,78585
2023-01-10 20:00:00,76086
2023-01-10 21:00:00,74021
2023-01-10 22:00:00,73882
2023-01-10 23:00:00,73429
2023-01-11 00:00:00,69895
2023-01-11 01:00:00,67210
2023-01-11 02:00:00,65711
2023-01-11 03:00:00,65346
2023-01-11 04:00:00,65999
2023-01-11 05:00:00,67795
2023-01-11 06:00:00,71297
2023-01-11 07:00:00,76710
2023-01-11 08:00:00,83078
2023-01-11 09:00:00,82490
2023-01-11 10:00:00,79424
2023-01-11 11:00:00,75319
2023-01-11 12:00:00,70266
2023-01-11 13:00:00,72339
2023-01-11 14:00:00,73519
2023-01-11 15:00:00,75815
2023-01-11 16:00:00,78958
2023-01-11 17:00:00,79578
2023-01-11 18:00:00,78959
2023-01-11 19:00:00,77708
2023-01-11 20:00:00,75570
2023-01-11 21:00:00,73914
2023-01-11 22:00:00,73648
2023-01-11 23:00:00,73396
2023-01-12 00:00:00,69525
2023-01-12 01:00:00,67134
2023-01-12 02:00:00,65755
2023-01-12 03:00:00,65134
2023-01-12 04:00:00,65582
2023-01-12 05:00:00,67276
2023-01-12 06:00:00,70986
2023-01-12 07:00:00,76283
2023-01-12 08:00:00,82287
2023-01-12 09:00:00,81409
2023-01-12 10:00:00,78458
2023-01-12 11:00:00,74358
2023-01-12 12:00:00,69356
2023-01-12 13:00:00,71855
2023-01-12 14:00:00,73440
2023-01-12 15:00:00,75505
2023-01-12 16:00:00,77864
2023-01-12 17:00:00,78050
2023-01-12 18:00:00,77503
2023-01-12 19:00:00,76057
2023-01-12 20:00:00,73867
2023-01-12 21:00:00,71705
2023-01-12 22:00:00,71680
2023-01-12 23:00:00,71111
2023-01-13 00:00:00,67315
2023-01-13 01:00:00,64699
2023-01-13 02:00:00,63055
2023-01-13 03:00:00,62515
2023-01-13 04:00:00,62915
2023-01-13 05:00:00,64328
2023-01-13 06:00:00,67315
2023-01-13 07:00:00,71701
2023-01-13 08:00:00,78563
2023-01-13 09:00:00,81442
2023-01-13 10:00:00,81907
2023-01-13 11:00:00,80654
2023-01-13 12:00:00,77145
2023-01-13 13:00:00,79098
2023-01-13 14:00:00,79042
2023-01-13 15:00:00,78333
2023-01-13 16:00:00,77877
2023-01-13 17:00:00,76496
2023-01-13 18:00:00,75070
2023-01-13 19:00:00,73567
2023-01-13 20:00:00,71501
2023-01-13 21:00:00,69700
2023-01-13 22:00:00,69656
2023-01-13 23:00:00,69319
2023-01-14 00:00:00,65615
2023-01-14 01:00:00,62937
2023-01-14 02:00:00,61284
2023-01-14 03:00:00,60481
2023-01-14 04:00:00,60458
2023-01-14 05:00:00,61229
2023-01-14 06:00:00,62558
2023-01-14 07:00:00,63769
2023-01-14 08:00:00,65900
2023-01-14 09:00:00,68095
2023-01-14 10:00:00,69388
2023-01-14 11:00:00,69080
2023-01-14 12:00:00,67146
2023-01-14 13:00:00,67683
2023-01-14 14:00:00,67602
2023-01-14 15:00:00,67387
2023-01-14 16:00:00,67545
2023-01-14 17:00:00,67448
2023-01-14 18:00:00,67745
2023-01-14 19:00:00,67017
2023-01-14 20:00:00,66081
2023-01-14 21:00:00,65073
2023-01-14 22:00:00,65894
2023-01-14 23:00:00,65745
2023-01-15 00:00:00,62478
2023-01-15 01:00:00,59828
2023-01-15 02:00:00,58387
2023-01-15 03:00:00,57683
2023-01-15 04:00:00,57975
2023-01-15 05:00:00,58722
2023-01-15 06:00:00,59730
2023-01-15 07:00:00,60479
2023-01-15 08:00:00,61876
2023-01-15 09:00:00,63549
2023-01-15 10:00:00,65387
2023-01-15 11:00:00,65912
2023-01-15 12:00:00,65547
2023-01-15 13:00:00,65498
2023-01-15 14:00:00,65304
2023-01-15 15:00:00,65421
2023-01-15 16:00:00,66173
2023-01-15 17:00:00,67991
2023-01-15 18:00:00,69166
2023-01-15 19:00:00,68646
2023-01-15 20:00:00,67736
2023-01-15 21:00:00,66741
2023-01-15 22:00:00,66636
2023-01-15 23:00:00,66871
2023-01-16 00:00:00,64138
2023-01-16 01:00:00,61902
2023-01-16 02:00:00,60568
2023-01-16 03:00:00,60075
2023-01-16 04:00:00,60825
2023-01-16 05:00:00,63036
2023-01-16 06:00:00,67544
2023-01-16 07:00:00,74396
2023-01-16 08:00:00,83110
2023-01-16 09:00:00,84415
2023-01-16 10:00:00,82795
2023-01-16 11:00:00,79502
2023-01-16 12:00:00,74839
2023-01-16 13:00:00,77054
2023-01-16 14:00:00,78267
2023-01-16 15:00:00,80098
2023-01-16 16:00:00,83570
2023-01-16 17:00:00,84582
2023-01-16 18:00:00,83664
2023-01-16 19:00:00,81661
2023-01-16 20:00:00,78740
2023-01-16 21:00:00,76125
2023-01-16 22:00:00,75933
2023-01-16 23:00:00,75597
2023-01-17 00:00:00,71833
2023-01-17 01:00:00,69396
2023-01-17 02:00:00,67967
2023-01-17 03:00:00,67229
2023-01-17 04:00:00,67614
2023-01-17 05:00:00,69412
2023-01-17 06:00:00,73097
2023-01-17 07:00:00,78690
2023-01-17 08:00:00,85227
2023-01-17 09:00:00,86815
2023-01-17 10:00:00,84836
2023-01-17 11:00:00,81927
2023-01-17 12:00:00,77900
2023-01-17 13:00:00,79476
2023-01-17 14:00:00,80652
2023-01-17 15:00:00,82193
2023-01-17 16:00:00,84668
2023-01-17 17:00:00,85067
2023-01-17 18:00:00,83719
2023-01-17 19:00:00,81724
2023-01-17 20:00:00,78765
2023-01-17 21:00:00,76311
2023-01-17 22:00:00,76020
2023-01-17 23:00:00,75609
2023-01-18 00:00:00,71876
2023-01-18 01:00:00,69246
2023-01-18 02:00:00,67723
2023-01-18 03:00:00,66955
2023-01-18 04:00:00,67176
2023-01-18 05:00:00,68638
2023-01-18 06:00:00,72305
2023-01-18 07:00:00,77989
2023-01-18 08:00:00,84731
2023-01-18 09:00:00,85627
2023-01-18 10:00:00,83287
2023-01-18 11:00:00,79694
2023-01-18 12:00:00,75431
2023-01-18 13:00:00,78472
2023-01-18 14:00:00,80236
2023-01-18 15:00:00,81196
2023-01-18 16:00:00,82946
2023-01-18 17:00:00,82990
2023-01-18 18:00:00,82364
2023-01-18 19:00:00,80683
2023-01-18 20:00:00,78331
2023-01-18 21:00:00,76082
2023-01-18 22:00:00,76126
2023-01-18 23:00:00,75752
2023-01-19 00:00:00,71884
2023-01-19 01:00:00,69304
2023-01-19 02:00:00,67773
2023-01-19 03:00:00,66973
2023-01-19 04:00:00,67503
2023-01-19 05:00:00,68961
2023-01-19 06:00:00,72439
2023-01-19 07:00:00,77785
2023-01-19 08:00:00,84465
2023-01-19 09:00:00,84442
2023-01-19 10:00:00,82283
2023-01-19 11:00:00,79197
2023-01-19 12:00:00,74507
2023-01-19 13:00:00,76768
2023-01-19 14:00:00,77437
2023-01-19 15:00:00,79214
2023-01-19 16:00:00,81712
2023-01-19 17:00:00,81809
2023-01-19 18:00:00,80843
2023-01-19 19:00:00,79064
2023-01-19 20:00:00,76653
2023-01-19 21:00:00,74578
2023-01-19 22:00:00,74335
2023-01-19 23:00:00,74009
2023-01-20 00:00:00,70229
2023-01-20 01:00:00,67450
2023-01-20 02:00:00,65851
2023-01-20 03:00:00,65047
2023-01-20 04:00:00,65297
2023-01-20 05:00:00,66628
2023-01-20 06:00:00,69805
2023-01-20 07:00:00,74801
2023-01-20 08:00:00,81055
2023-01-20 09:00:00,81244
2023-01-20 10:00:00,79456
2023-01-20 11:00:00,75466
2023-01-20 12:00:00,70435
2023-01-20 13:00:00,71331
2023-01-20 14:00:00,71419
2023-01-20 15:00:00,71661
2023-01-20 16:00:00,73222
2023-01-20 17:00:00,74723
2023-01-20 18:00:00,75143
2023-01-20 19:00:00,74389
2023-01-20 20:00:00,73399
2023-01-20 21:00:00,71860
2023-01-20 22:00:00,72154
2023-01-20 23:00:00,72079
2023-01-21 00:00:00,68910
2023-01-21 01:00:00,66058
2023-01-21 02:00:00,64053
2023-01-21 03:00:00,62498
2023-01-21 04:00:00,61726
2023-01-21 05:00:00,61734
2023-01-21 06:00:00,61908
2023-01-21 07:00:00,62027
2023-01-21 08:00:00,60190
2023-01-21 09:00:00,55781
2023-01-21 10:00:00,53618
2023-01-21 11:00:00,51391
2023-01-21 12:00:00,49646
2023-01-21 13:00:00,49564
2023-01-21 14:00:00,50457
2023-01-21 15:00:00,53317
2023-01-21 16:00:00,57834
2023-01-21 17:00:00,61577
2023-01-21 18:00:00,63296
2023-01-21 19:00:00,63002
2023-01-21 20:00:00,62642
2023-01-21 21:00:00,62174
2023-01-21 22:00:00,62375
