date,demand
2013-01-01 00:00:00,60178
2013-01-01 01:00:00,57862
2013-01-01 02:00:00,56165
2013-01-01 03:00:00,55135
2013-01-01 04:00:00,54450
2013-01-01 05:00:00,54401
2013-01-01 06:00:00,54147
2013-01-01 07:00:00,52467
2013-01-01 08:00:00,50469
2013-01-01 09:00:00,49572
2013-01-01 10:00:00,50034
2013-01-01 11:00:00,50026
2013-01-01 12:00:00,49515
2013-01-01 13:00:00,49365
2013-01-01 14:00:00,49213
2013-01-01 15:00:00,49357
2013-01-01 16:00:00,50362
2013-01-01 17:00:00,53115
2013-01-01 18:00:00,55205
2013-01-01 19:00:00,55437
2013-01-01 20:00:00,55348
2013-01-01 21:00:00,55790
2013-01-01 22:00:00,58195
2013-01-01 23:00:00,59330
2013-01-02 00:00:00,57067
2013-01-02 01:00:00,55148
2013-01-02 02:00:00,53983
2013-01-02 03:00:00,53571
2013-01-02 04:00:00,54027
2013-01-02 05:00:00,55388
2013-01-02 06:00:00,57753
2013-01-02 07:00:00,60781
2013-01-02 08:00:00,66494
2013-01-02 09:00:00,70869
2013-01-02 10:00:00,72867
2013-01-02 11:00:00,73115
2013-01-02 12:00:00,69165
2013-01-02 13:00:00,71429
2013-01-02 14:00:00,72228
2013-01-02 15:00:00,71945
2013-01-02 16:00:00,72641
2013-01-02 17:00:00,73387
2013-01-02 18:00:00,72294
2013-01-02 19:00:00,69989
2013-01-02 20:00:00,67893
2013-01-02 21:00:00,66504
2013-01-02 22:00:00,67435
2013-01-02 23:00:00,69275
2013-01-03 00:00:00,66263
2013-01-03 01:00:00,64233
2013-01-03 02:00:00,63194
2013-01-03 03:00:00,62461
2013-01-03 04:00:00,62649
2013-01-03 05:00:00,63396
2013-01-03 06:00:00,65098
2013-01-03 07:00:00,67745
2013-01-03 08:00:00,72982
2013-01-03 09:00:00,75999
2013-01-03 10:00:00,76522
2013-01-03 11:00:00,76019
2013-01-03 12:00:00,72203
2013-01-03 13:00:00,74725
2013-01-03 14:00:00,75576
2013-01-03 15:00:00,75168
2013-01-03 16:00:00,75791
2013-01-03 17:00:00,75922
2013-01-03 18:00:00,75469
2013-01-03 19:00:00,73118
